
 eval_cls__precision: 0.8749999998177084, eval_cls_8_recall: 0.9545454543285123, eval_cls_8_f1: 0.9130434780623818,
 eval_cls__precision: 0.9999999983333333, eval_cls_9_recall: 0.9999999983333333, eval_cls_9_f1: 0.9999999983333333,
 eval_cls__precision: 0.982758620520214, eval_cls_10_recall: 0.982758620520214, eval_cls_10_f1: 0.982758620520214,
 eval_cls__precision: 0.9523809519274377, eval_cls_11_recall: 0.9090909086776859, eval_cls_11_f1: 0.9302325577068686,
 eval_cls__precision: 0.9139784945253787, eval_cls_12_recall: 0.8854166665744359, eval_cls_12_f1: 0.8994708993757174,
 eval_cls__precision: 0.8552631577822023, eval_cls_13_recall: 0.9027777776523921, eval_cls_13_f1: 0.8783783782596787,
 eval_cls__precision: 0.9807692305806213, eval_cls_14_recall: 0.9807692305806213, eval_cls_14_f1: 0.9807692305806213,
 eval_cls__precision: 0.9999999996774194, eval_cls_15_recall: 0.9999999996774194, eval_cls_15_f1: 0.9999999996774194,
 eval_cls__precision: 0.9999999994444444, eval_cls_16_recall: 0.9473684205540166, eval_cls_16_f1: 0.9729729724470416,
 eval_cls__precision: 0.999999999090909, eval_cls_17_recall: 0.999999999090909, eval_cls_17_f1: 0.999999999090909,
 eval_cls__precision: 0.9999999991666666, eval_cls_18_recall: 0.9999999991666666, eval_cls_18_f1: 0.9999999991666666,
 eval_cls__precision: 0.9999999995833333, eval_cls_19_recall: 0.9230769227218935, eval_cls_19_f1: 0.9599999996159999,
 eval_cls__precision: 0.7191011235147078, eval_cls_20_recall: 0.8101265821759334, eval_cls_20_f1: 0.761904761814059,
 eval_acc: 0.9371681415929204, epoch: 4.8361

