
 eval_cls__precision: 0.9888888887790124, eval_cls_0_recall: 0.9888888887790124, eval_cls_0_f1: 0.9888888837790125,
 eval_cls__precision: 0.9999999998850575, eval_cls_1_recall: 0.9255319147951563, eval_cls_1_f1: 0.9613259617520835,
 eval_cls__precision: 0.9886363635240186, eval_cls_2_recall: 0.9886363635240186, eval_cls_2_f1: 0.9886363585240187,
 eval_cls__precision: 0.99999999987013, eval_cls_3_recall: 0.99999999987013, eval_cls_3_f1: 0.9999999948701299,
 eval_cls__precision: 0.9866666665351111, eval_cls_4_recall: 0.9736842103981995, eval_cls_4_f1: 0.9801324452015263,
 eval_cls__precision: 0.9456521738102552, eval_cls_5_recall: 0.9886363635240186, eval_cls_5_f1: 0.9666666615617284,
 eval_cls__precision: 0.9482758619054696, eval_cls_6_recall: 0.9649122805324715, eval_cls_6_f1: 0.9565217339644613,
 eval_cls__precision: 0.9642857139413265, eval_cls_7_recall: 0.9642857139413265, eval_cls_7_f1: 0.9642857089413265,
 eval_cls__precision: 0.9607843135371011, eval_cls_8_recall: 0.979999999804, eval_cls_8_f1: 0.9702970245113225,
 eval_cls__precision: 0.9999999983333333, eval_cls_9_recall: 0.9999999983333333, eval_cls_9_f1: 0.9999999933333332,
 eval_cls__precision: 0.8727272725685951, eval_cls_10_recall: 0.9999999997916666, eval_cls_10_f1: 0.9320388297935716,
 eval_cls__precision: 0.9999999995652173, eval_cls_11_recall: 0.9999999995652173, eval_cls_11_f1: 0.9999999945652174,
 eval_cls__precision: 0.9504950494108422, eval_cls_12_recall: 0.7272727272176308, eval_cls_12_f1: 0.8240343297817239,
 eval_cls__precision: 0.5542168674031065, eval_cls_13_recall: 0.9583333331336805, eval_cls_13_f1: 0.702290071585572,
 eval_cls__precision: 0.9761904759580499, eval_cls_14_recall: 0.9761904759580499, eval_cls_14_f1: 0.9761904709580499,
 eval_cls__precision: 0.9999999996153845, eval_cls_15_recall: 0.9999999996153845, eval_cls_15_f1: 0.9999999946153846,
 eval_cls__precision: 0.9999999994444444, eval_cls_16_recall: 0.9473684205540166, eval_cls_16_f1: 0.972972967450694,
 eval_cls__precision: 0.9999999988888888, eval_cls_17_recall: 0.749999999375, eval_cls_17_f1: 0.8571428514285714,
